"","Nonpeptidergic.Nociceptor_1","Nonpeptidergic.Nociceptor_2","Nonpeptidergic.Nociceptor_3","Peptidergic.Nociceptor_1","Peptidergic.Nociceptor_2","Peptidergic.Nociceptor_3","C.LTMR_1","C.LTMR_2","C.LTMR_3","A�..LTMR_1","A�..LTMR_2","A�..LTMR_3","Aβ.RA.LTMR_4","Aβ.RA.LTMR_5","Aβ.RA.LTMR_1","Aβ.RA.LTMR_2","Aβ.RA.LTMR_3","Aβ.SA1.LTMR_1","Aβ.SA1.LTMR_2","Aβ.SA1.LTMR_3","Aβ.Field.LTMR_1","Aβ.Field.LTMR_2","Aβ.Field.LTMR_3","Proprioceptor_1","Proprioceptor_2","Proprioceptor_3"
"ENSMUSG00000064606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083199",9,0,1,4,3,7,4,3,4,2,1,2,1,0,11,11,5,0,3,5,2,2,5,2,4,4
"ENSMUSG00000092627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000030652",433,364,463,323,293,255,189,239,430,510,395,1061,251,758,764,729,969,837,591,1670,312,168,934,313,1274,1361
"ENSMUSG00000077207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098459",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098703",0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073753",3,2,3,7,9,3,5,8,17,0,2,1,1,0,0,5,9,0,1,0,3,1,2,2,4,7
"ENSMUSG00000055707",701,454,708,591,590,588,380,528,856,320,217,696,250,434,582,545,664,848,606,514,573,104,760,204,499,641
"ENSMUSG00000076467",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085397",3,1,4,6,3,4,0,5,2,2,1,5,7,1,2,0,2,0,0,0,0,0,0,1,1,5
"ENSMUSG00000086328",0,0,5,1,5,1,0,1,0,0,3,8,2,0,2,4,5,0,3,19,16,5,8,12,14,16
"ENSMUSG00000096939",3,3,2,0,3,0,1,1,0,0,1,2,4,1,1,4,0,6,0,6,0,2,0,2,3,4
"ENSMUSG00000078762",28,12,28,16,21,27,9,16,22,4,1,18,4,3,25,13,15,11,20,7,9,1,13,8,20,25
"ENSMUSG00000028848",270,139,247,111,94,98,72,108,196,59,58,198,81,139,230,147,115,48,147,195,67,30,109,76,244,215
"ENSMUSG00000094946",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026070",7,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000084851",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000026156",163,72,53,341,172,188,116,121,190,37,31,58,52,99,142,137,162,25,38,32,18,10,4,40,50,82
"ENSMUSG00000059503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
"ENSMUSG00000082759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000045148",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000075415",17293,13835,18940,12391,10406,12502,11095,15878,22865,7544,6390,9630,4721,5041,9227,8708,9854,9692,8155,12853,12483,2242,9685,4981,9298,9564
"ENSMUSG00000087269",91,32,60,29,15,18,28,50,40,18,9,27,20,4,31,21,18,41,46,34,12,8,22,29,178,104
"ENSMUSG00000096411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031388",649,365,580,215,144,140,90,138,202,63,64,319,106,154,329,175,177,270,206,279,100,37,230,87,480,593
"ENSMUSG00000065435",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089730",0,0,0,3,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,25,2,2,6,0,0,0
"ENSMUSG00000082734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039382",1370,1065,1391,1131,984,1031,830,1063,1686,485,558,1579,622,1022,1917,1411,1593,1566,1406,2192,739,170,1115,590,1711,1897
