"","Nonpeptidergic.Nociceptor_1","Nonpeptidergic.Nociceptor_2","Nonpeptidergic.Nociceptor_3","Peptidergic.Nociceptor_1","Peptidergic.Nociceptor_2","Peptidergic.Nociceptor_3","C.LTMR_1","C.LTMR_2","C.LTMR_3","A�..LTMR_1","A�..LTMR_2","A�..LTMR_3","Aβ.RA.LTMR_4","Aβ.RA.LTMR_5","Aβ.RA.LTMR_1","Aβ.RA.LTMR_2","Aβ.RA.LTMR_3","Aβ.SA1.LTMR_1","Aβ.SA1.LTMR_2","Aβ.SA1.LTMR_3","Aβ.Field.LTMR_1","Aβ.Field.LTMR_2","Aβ.Field.LTMR_3","Proprioceptor_1","Proprioceptor_2","Proprioceptor_3"
"ENSMUSG00000081941",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000037339",218,146,241,125,83,120,63,98,169,117,69,84,33,82,57,69,68,72,24,43,48,38,95,30,97,173
"ENSMUSG00000073995",7,0,0,1,2,7,4,2,8,1,5,2,0,0,1,2,0,0,0,0,2,0,0,0,0,1
"ENSMUSG00000081977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000098315",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087674",37,13,13,80,60,51,15,41,50,8,6,9,3,13,0,15,20,187,0,31,25,2,16,2,4,14
"ENSMUSG00000043924",32,16,21,115,84,59,28,35,92,96,17,130,12,47,9,5,29,36,7,86,101,11,12,9,22,22
"ENSMUSG00000080205",0,3,2,1,2,1,0,0,2,1,0,4,1,3,1,0,0,0,1,2,1,0,0,0,1,2
"ENSMUSG00000078877",169,75,91,195,245,162,231,259,371,172,138,139,46,77,60,147,111,291,265,266,184,52,206,42,184,197
"ENSMUSG00000095816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073982",999,850,1072,793,651,641,318,500,573,165,229,686,160,364,359,344,399,605,412,580,397,69,312,186,323,530
"ENSMUSG00000026664",1162,855,1219,2757,2393,2432,1412,1962,3036,2702,2446,3995,1277,2773,3489,2557,3259,3883,2371,3605,1433,461,2472,1811,5658,6839
"ENSMUSG00000038023",1127,938,1444,1674,1416,1705,1016,1566,1891,862,793,1535,917,1009,2226,1956,2401,3507,1688,2458,2404,359,1711,970,1393,1682
"ENSMUSG00000032657",51732,43606,61270,25237,22588,25320,10948,14109,21460,5824,5873,11047,5366,6510,9655,7762,9089,15909,8189,12618,10332,2117,9017,4233,6986,8602
"ENSMUSG00000058588",0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000055555",5,5,11,47,26,37,12,14,25,51,24,71,33,72,51,110,63,135,97,176,32,25,80,25,164,121
"ENSMUSG00000079965",0,0,0,0,2,1,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,2,1
"ENSMUSG00000092934",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080813",0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0
"ENSMUSG00000026965",3337,2294,3769,3679,2651,3158,2383,3272,4646,1194,942,4022,1000,2624,4183,3412,3870,3745,2650,3842,2396,425,2963,1018,2578,2802
"ENSMUSG00000037568",7,35,7,320,215,197,46,31,119,123,96,207,132,107,252,378,365,95,458,414,163,26,157,51,57,124
"ENSMUSG00000083564",3,1,0,3,2,1,0,6,5,12,5,0,5,5,10,1,8,2,1,11,6,0,1,5,3,5
"ENSMUSG00000081086",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"ENSMUSG00000084039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097456",1,11,28,21,18,7,16,9,36,47,16,12,14,0,5,12,4,0,0,0,7,2,15,3,6,20
"ENSMUSG00000076489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046287",2,2,1,96,105,76,151,265,377,64,28,68,35,4,97,72,82,179,98,100,17,8,23,74,137,165
"ENSMUSG00000028873",155,103,215,71,51,57,40,74,111,17,21,90,22,28,38,33,81,79,83,127,61,8,81,21,74,89
"ENSMUSG00000037035",0,3,19,11,14,36,4,8,54,15,21,90,20,148,59,64,95,1066,341,752,15,15,31,628,2741,2415
"ENSMUSG00000092917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000049593",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4,0,13
"ENSMUSG00000097019",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000059631",0,0,1,1,7,5,2,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"ENSMUSG00000083921",0,0,1,4,0,1,11,17,17,5,2,32,5,0,20,4,2,0,1,2,1,2,2,1,11,4
"ENSMUSG00000090458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028001",1,0,0,3,1,9,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,9,5
"ENSMUSG00000035513",119,66,81,234,376,339,204,236,324,1288,1307,2406,2763,4296,6821,6584,7053,4033,2519,2998,5277,602,4112,862,1104,1213
"ENSMUSG00000077250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000093738",0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0
"ENSMUSG00000037334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000038146",0,3,10,39,42,60,19,31,48,156,50,177,36,87,71,66,67,40,54,106,52,11,11,43,74,104
"ENSMUSG00000038541",1,0,0,4,10,9,18,0,7,11,19,54,11,0,52,133,613,0,1,0,0,0,0,7,2,0
"ENSMUSG00000023122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
